"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 04 07:21:05 GMT 2024","Thu Apr 04 07:21:24 GMT 2024","19448","tests","features_profile_test","TestRecruitmentCandidate","","","test_sorted_descending_hiring",""
"passed","Thu Apr 04 07:19:47 GMT 2024","Thu Apr 04 07:20:07 GMT 2024","20063","tests","features_profile_test","TestRecruitmentCandidate","","","test_sorted_descending_vacancy",""
"passed","Thu Apr 04 07:11:10 GMT 2024","Thu Apr 04 07:11:21 GMT 2024","11620","tests","features_profile_test","TestNationalities","","","test_add_kyiv",""
"passed","Thu Apr 04 07:15:38 GMT 2024","Thu Apr 04 07:15:51 GMT 2024","13147","tests","features_profile_test","TestPimReports","","","test_delete_report",""
"passed","Thu Apr 04 07:17:07 GMT 2024","Thu Apr 04 07:17:18 GMT 2024","11339","tests","features_profile_test","TestVacancies","","","test_show_error_when_empty_field",""
"failed","Thu Apr 04 07:18:39 GMT 2024","Thu Apr 04 07:18:49 GMT 2024","10508","tests","features_profile_test","TestRecruitmentCandidate","","","test_found_only_qa_lead_after_chosen_from_dropdown",""
"passed","Thu Apr 04 07:20:07 GMT 2024","Thu Apr 04 07:20:27 GMT 2024","19712","tests","features_profile_test","TestRecruitmentCandidate","","","test_sorted_ascending_candidate",""
"passed","Thu Apr 04 07:13:25 GMT 2024","Thu Apr 04 07:13:33 GMT 2024","7251","tests","features_profile_test","TestDirectory","","","test_is_display_hr_after_filters",""
"broken","Thu Apr 04 07:13:04 GMT 2024","Thu Apr 04 07:13:25 GMT 2024","21223","tests","features_profile_test","TestDirectory","","","test_is_display_employee_after_filters",""
"passed","Thu Apr 04 07:18:24 GMT 2024","Thu Apr 04 07:18:32 GMT 2024","8698","tests","features_profile_test","TestRecruitmentCandidate","","","test_found_no_records",""
"passed","Thu Apr 04 07:17:44 GMT 2024","Thu Apr 04 07:17:53 GMT 2024","9504","tests","features_profile_test","TestRecruitmentCandidate","","","test_add_new_candidate",""
"passed","Thu Apr 04 07:21:25 GMT 2024","Thu Apr 04 07:21:56 GMT 2024","31819","tests","features_profile_test","TestRecruitmentCandidate","","","test_search_for_valid_data_via_calendar",""
"passed","Thu Apr 04 07:11:46 GMT 2024","Thu Apr 04 07:11:57 GMT 2024","11442","tests","features_profile_test","TestNationalities","","","test_add_porto",""
"passed","Thu Apr 04 07:20:46 GMT 2024","Thu Apr 04 07:21:04 GMT 2024","18491","tests","features_profile_test","TestRecruitmentCandidate","","","test_sorted_ascending_hiring",""
"passed","Thu Apr 04 07:17:31 GMT 2024","Thu Apr 04 07:17:44 GMT 2024","12083","tests","features_profile_test","TestVacancies","","","test_display_sales_in_table_after_chosen_dropdown",""
"failed","Thu Apr 04 07:19:09 GMT 2024","Thu Apr 04 07:19:17 GMT 2024","8734","tests","features_profile_test","TestRecruitmentCandidate","","","test_found_only_engineer_chosen_from_dropdown",""
"passed","Thu Apr 04 07:11:22 GMT 2024","Thu Apr 04 07:11:46 GMT 2024","24082","tests","features_profile_test","TestNationalities","","","test_delete_kyiv_from_table",""
"failed","Thu Apr 04 07:19:00 GMT 2024","Thu Apr 04 07:19:08 GMT 2024","8752","tests","features_profile_test","TestRecruitmentCandidate","","","test_found_only_manager_chosen_from_dropdown",""
"failed","Thu Apr 04 07:17:19 GMT 2024","Thu Apr 04 07:17:31 GMT 2024","12329","tests","features_profile_test","TestVacancies","","","test_display_engineer_in_table_after_chosen_dropdown",""
"passed","Thu Apr 04 07:10:58 GMT 2024","Thu Apr 04 07:11:09 GMT 2024","11771","tests","features_profile_test","TestNationalities","","","test_add_country",""
"passed","Thu Apr 04 07:12:52 GMT 2024","Thu Apr 04 07:13:03 GMT 2024","11225","tests","features_profile_test","TestNationalities","","","test_edit_country",""
"passed","Thu Apr 04 07:10:13 GMT 2024","Thu Apr 04 07:10:18 GMT 2024","4942","tests","features_profile_test","TestProfileFeatures","","","test_with_valid_crendentional",""
"passed","Thu Apr 04 07:15:30 GMT 2024","Thu Apr 04 07:15:38 GMT 2024","8178","tests","features_profile_test","TestPimReports","","","test_find_invalid_report",""
"passed","Thu Apr 04 07:13:54 GMT 2024","Thu Apr 04 07:14:01 GMT 2024","7146","tests","features_profile_test","TestDirectory","","","test_no_records",""
"passed","Thu Apr 04 07:20:27 GMT 2024","Thu Apr 04 07:20:46 GMT 2024","18341","tests","features_profile_test","TestRecruitmentCandidate","","","test_sorted_descending_candidate",""
"broken","Thu Apr 04 07:14:01 GMT 2024","Thu Apr 04 07:14:21 GMT 2024","20316","tests","features_profile_test","TestDirectory","","","test_is_display_chief_after_filters",""
"passed","Thu Apr 04 07:18:14 GMT 2024","Thu Apr 04 07:18:23 GMT 2024","8860","tests","features_profile_test","TestRecruitmentCandidate","","","test_found_invalid_data",""
"passed","Thu Apr 04 07:19:27 GMT 2024","Thu Apr 04 07:19:46 GMT 2024","19422","tests","features_profile_test","TestRecruitmentCandidate","","","test_sorted_ascending_vacancy",""
"passed","Thu Apr 04 07:10:18 GMT 2024","Thu Apr 04 07:10:57 GMT 2024","38910","tests","features_profile_test","TestNationalities","","","test_scraping_all_countries_in_table",""
"failed","Thu Apr 04 07:15:52 GMT 2024","Thu Apr 04 07:16:01 GMT 2024","9170","tests","features_profile_test","TestPimReports","","","test_sort_ascending_name",""
"passed","Thu Apr 04 07:23:37 GMT 2024","Thu Apr 04 07:24:13 GMT 2024","36038","tests","features_profile_test","TestRecruitmentCandidate","","","test_if_search_for_invalid_record_via_calendar",""
"broken","Thu Apr 04 07:13:33 GMT 2024","Thu Apr 04 07:13:53 GMT 2024","20483","tests","features_profile_test","TestDirectory","","","test_is_display_qa_after_filters",""
"passed","Thu Apr 04 07:16:11 GMT 2024","Thu Apr 04 07:16:19 GMT 2024","7805","tests","features_profile_test","TestPimReports","","","test_hide_block",""
"passed","Thu Apr 04 07:14:50 GMT 2024","Thu Apr 04 07:15:04 GMT 2024","13646","tests","features_profile_test","TestPimReports","","","test_add_report",""
"broken","Thu Apr 04 07:15:04 GMT 2024","Thu Apr 04 07:15:29 GMT 2024","25222","tests","features_profile_test","TestPimReports","","","test_find_a_new_report",""
"passed","Thu Apr 04 07:12:32 GMT 2024","Thu Apr 04 07:12:42 GMT 2024","10204","tests","features_profile_test","TestNationalities","","","test_country_is_exist",""
"passed","Thu Apr 04 07:21:57 GMT 2024","Thu Apr 04 07:22:28 GMT 2024","31762","tests","features_profile_test","TestRecruitmentCandidate","","","test_if_search_for_july_in_calendar",""
"failed","Thu Apr 04 07:16:01 GMT 2024","Thu Apr 04 07:16:10 GMT 2024","9502","tests","features_profile_test","TestPimReports","","","test_sort_descending_name",""
"passed","Thu Apr 04 07:19:18 GMT 2024","Thu Apr 04 07:19:27 GMT 2024","8987","tests","features_profile_test","TestRecruitmentCandidate","","","test_found_only_rejected_status_chosen_from_dropdown",""
"broken","Thu Apr 04 07:16:43 GMT 2024","Thu Apr 04 07:17:07 GMT 2024","23562","tests","features_profile_test","TestVacancies","","","test_vacancy_existed",""
"passed","Thu Apr 04 07:24:13 GMT 2024","Thu Apr 04 07:24:17 GMT 2024","3966","tests","features_profile_test","TestForgotPassword","","","test_shown_error",""
