"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Apr 04 11:31:31 GMT 2024","Thu Apr 04 11:31:49 GMT 2024","17637","tests","features_profile_test","TestRecruitmentCandidate","","","test_found_candidate",""
"broken","Thu Apr 04 11:30:00 GMT 2024","Thu Apr 04 11:30:20 GMT 2024","20268","tests","features_profile_test","TestVacancies","","","test_show_error_when_empty_field",""
"broken","Thu Apr 04 11:29:34 GMT 2024","Thu Apr 04 11:29:59 GMT 2024","24786","tests","features_profile_test","TestVacancies","","","test_vacancy_existed",""
"passed","Thu Apr 04 11:26:34 GMT 2024","Thu Apr 04 11:26:42 GMT 2024","7743","tests","features_profile_test","TestDirectory","","","test_is_display_qa_after_filters",""
"broken","Thu Apr 04 11:33:36 GMT 2024","Thu Apr 04 11:33:54 GMT 2024","17724","tests","features_profile_test","TestRecruitmentCandidate","","","test_found_only_engineer_chosen_from_dropdown",""
"broken","Thu Apr 04 11:36:16 GMT 2024","Thu Apr 04 11:36:34 GMT 2024","17505","tests","features_profile_test","TestRecruitmentCandidate","","","test_if_search_for_july_in_calendar",""
"broken","Thu Apr 04 11:34:12 GMT 2024","Thu Apr 04 11:34:29 GMT 2024","17243","tests","features_profile_test","TestRecruitmentCandidate","","","test_sorted_ascending_vacancy",""
"broken","Thu Apr 04 11:34:29 GMT 2024","Thu Apr 04 11:34:47 GMT 2024","17475","tests","features_profile_test","TestRecruitmentCandidate","","","test_sorted_descending_vacancy",""
"passed","Thu Apr 04 11:24:55 GMT 2024","Thu Apr 04 11:25:07 GMT 2024","12121","tests","features_profile_test","TestNationalities","","","test_add_porto",""
"passed","Thu Apr 04 11:28:16 GMT 2024","Thu Apr 04 11:28:24 GMT 2024","8868","tests","features_profile_test","TestPimReports","","","test_find_invalid_report",""
"broken","Thu Apr 04 11:31:49 GMT 2024","Thu Apr 04 11:32:07 GMT 2024","17412","tests","features_profile_test","TestRecruitmentCandidate","","","test_found_invalid_data",""
"passed","Thu Apr 04 11:24:30 GMT 2024","Thu Apr 04 11:24:55 GMT 2024","25057","tests","features_profile_test","TestNationalities","","","test_delete_kyiv_from_table",""
"broken","Thu Apr 04 11:30:20 GMT 2024","Thu Apr 04 11:30:37 GMT 2024","17356","tests","features_profile_test","TestVacancies","","","test_display_engineer_in_table_after_chosen_dropdown",""
"broken","Thu Apr 04 11:36:34 GMT 2024","Thu Apr 04 11:36:51 GMT 2024","17378","tests","features_profile_test","TestRecruitmentCandidate","","","test_if_search_for_11_in_calendar",""
"passed","Thu Apr 04 11:28:25 GMT 2024","Thu Apr 04 11:28:39 GMT 2024","14105","tests","features_profile_test","TestPimReports","","","test_delete_report",""
"passed","Thu Apr 04 11:26:18 GMT 2024","Thu Apr 04 11:26:25 GMT 2024","7894","tests","features_profile_test","TestDirectory","","","test_is_display_employee_after_filters",""
"passed","Thu Apr 04 11:26:05 GMT 2024","Thu Apr 04 11:26:17 GMT 2024","12613","tests","features_profile_test","TestNationalities","","","test_edit_country",""
"broken","Thu Apr 04 11:33:18 GMT 2024","Thu Apr 04 11:33:36 GMT 2024","17321","tests","features_profile_test","TestRecruitmentCandidate","","","test_found_only_manager_chosen_from_dropdown",""
"passed","Thu Apr 04 11:24:05 GMT 2024","Thu Apr 04 11:24:17 GMT 2024","12245","tests","features_profile_test","TestNationalities","","","test_add_country",""
"broken","Thu Apr 04 11:35:05 GMT 2024","Thu Apr 04 11:35:22 GMT 2024","17556","tests","features_profile_test","TestRecruitmentCandidate","","","test_sorted_descending_candidate",""
"broken","Thu Apr 04 11:36:52 GMT 2024","Thu Apr 04 11:37:09 GMT 2024","17755","tests","features_profile_test","TestRecruitmentCandidate","","","test_if_search_for_invalid_data_via_calendar",""
"broken","Thu Apr 04 11:35:58 GMT 2024","Thu Apr 04 11:36:16 GMT 2024","17670","tests","features_profile_test","TestRecruitmentCandidate","","","test_search_for_valid_data_via_calendar",""
