"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29223","test_add_country","tests","Tue Jan 27 17:51:10 UTC 2026","broken","Tue Jan 27 17:51:39 UTC 2026","TestNationalities","features_profile_test","",""
"","25359","Validate 'Required' error when Nationality field is empty","tests","Tue Jan 27 17:53:50 UTC 2026","broken","Tue Jan 27 17:54:15 UTC 2026","TestNationalities","features_profile_test","",""
"","26359","Add nationality: Kyiv","tests","Tue Jan 27 17:51:39 UTC 2026","broken","Tue Jan 27 17:52:06 UTC 2026","TestNationalities","features_profile_test","",""
"","25171","Delete nationality: Kyiv","tests","Tue Jan 27 17:52:06 UTC 2026","broken","Tue Jan 27 17:52:31 UTC 2026","TestNationalities","features_profile_test","",""
"","26203","Edit nationality and verify update notification","tests","Tue Jan 27 17:54:15 UTC 2026","broken","Tue Jan 27 17:54:41 UTC 2026","TestNationalities","features_profile_test","",""
"","26395","Delete nationality: Portu","tests","Tue Jan 27 17:52:57 UTC 2026","broken","Tue Jan 27 17:53:24 UTC 2026","TestNationalities","features_profile_test","",""
"","25456","Validate error when nationality already exists (Ukraine)","tests","Tue Jan 27 17:53:24 UTC 2026","broken","Tue Jan 27 17:53:49 UTC 2026","TestNationalities","features_profile_test","",""
"","25596","Add nationality: Portu","tests","Tue Jan 27 17:52:31 UTC 2026","broken","Tue Jan 27 17:52:57 UTC 2026","TestNationalities","features_profile_test","",""
"","26463","test_scraping_all_countries_in_table","tests","Tue Jan 27 17:50:43 UTC 2026","broken","Tue Jan 27 17:51:09 UTC 2026","TestNationalities","features_profile_test","",""
