"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17775","test_found_no_records","tests","Wed Dec 10 11:53:51 UTC 2025","broken","Wed Dec 10 11:54:09 UTC 2025","TestRecruitmentCandidate","features_profile_test","",""
"","17870","test_found_only_engineer_chosen_from_dropdown","tests","Wed Dec 10 11:55:07 UTC 2025","broken","Wed Dec 10 11:55:25 UTC 2025","TestRecruitmentCandidate","features_profile_test","",""
"","17708","test_each_user_have_email","tests","Wed Dec 10 11:49:07 UTC 2025","broken","Wed Dec 10 11:49:25 UTC 2025","TestDirectory","features_profile_test","",""
"","17196","test_found_only_manager_chosen_from_dropdown","tests","Wed Dec 10 11:54:49 UTC 2025","broken","Wed Dec 10 11:55:07 UTC 2025","TestRecruitmentCandidate","features_profile_test","",""
"","17709","test_country_is_exist","tests","Wed Dec 10 11:46:23 UTC 2025","broken","Wed Dec 10 11:46:41 UTC 2025","TestNationalities","features_profile_test","",""
"","17750","test_if_search_for_11_in_calendar","tests","Wed Dec 10 11:58:08 UTC 2025","broken","Wed Dec 10 11:58:26 UTC 2025","TestRecruitmentCandidate","features_profile_test","",""
"","17757","test_scraping_all_countries_in_table","tests","Wed Dec 10 11:44:35 UTC 2025","broken","Wed Dec 10 11:44:53 UTC 2025","TestNationalities","features_profile_test","",""
"","17793","test_sorted_descending_vacancy","tests","Wed Dec 10 11:56:01 UTC 2025","broken","Wed Dec 10 11:56:19 UTC 2025","TestRecruitmentCandidate","features_profile_test","",""
"","17714","test_is_display_qa_after_filters","tests","Wed Dec 10 11:47:53 UTC 2025","broken","Wed Dec 10 11:48:11 UTC 2025","TestDirectory","features_profile_test","",""
"","4143","test_sent_reset_password","tests","Wed Dec 10 11:59:10 UTC 2025","passed","Wed Dec 10 11:59:14 UTC 2025","TestForgotPassword","features_profile_test","",""
"","17728","test_found_invalid_data","tests","Wed Dec 10 11:53:33 UTC 2025","broken","Wed Dec 10 11:53:51 UTC 2025","TestRecruitmentCandidate","features_profile_test","",""
