"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26585","Delete nationality: Kyiv","tests","Tue Jan 27 21:40:20 UTC 2026","broken","Tue Jan 27 21:40:47 UTC 2026","TestNationalities","features_profile_test","",""
"","26087","Add nationality: Kyiv","tests","Tue Jan 27 21:39:54 UTC 2026","broken","Tue Jan 27 21:40:20 UTC 2026","TestNationalities","features_profile_test","",""
"","7126","test_with_valid_crendentional","tests","Tue Jan 27 21:39:46 UTC 2026","passed","Tue Jan 27 21:39:54 UTC 2026","TestProfileFeatures","features_profile_test","",""
