"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32344","Add new vacancy with Job Title: QA Lead","tests","Fri Jan 30 22:50:04 UTC 2026","broken","Fri Jan 30 22:50:37 UTC 2026","TestVacancies","features_profile_test","",""
"","25140","Add nationality: Portu","tests","Fri Jan 30 22:45:34 UTC 2026","broken","Fri Jan 30 22:45:59 UTC 2026","TestNationalities","features_profile_test","",""
"","25423","Validate error when nationality already exists (Ukraine)","tests","Fri Jan 30 22:46:25 UTC 2026","broken","Fri Jan 30 22:46:50 UTC 2026","TestNationalities","features_profile_test","",""
"","13731","test_add_report","tests","Fri Jan 30 22:48:19 UTC 2026","passed","Fri Jan 30 22:48:33 UTC 2026","TestPimReports","features_profile_test","",""
"","33797","test_find_a_new_report","tests","Fri Jan 30 22:48:33 UTC 2026","broken","Fri Jan 30 22:49:07 UTC 2026","TestPimReports","features_profile_test","",""
"","8880","test_shown_error_when_empty_fields","tests","Fri Jan 30 22:51:53 UTC 2026","passed","Fri Jan 30 22:52:01 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","4913","test_hidden_block","tests","Fri Jan 30 22:52:31 UTC 2026","passed","Fri Jan 30 22:52:36 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","11263","test_found_candidate","tests","Fri Jan 30 22:52:02 UTC 2026","passed","Fri Jan 30 22:52:13 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","20646","test_find_invalid_report","tests","Fri Jan 30 22:49:08 UTC 2026","passed","Fri Jan 30 22:49:28 UTC 2026","TestPimReports","features_profile_test","",""
"","25080","Validate 'Required' error when Nationality field is empty","tests","Fri Jan 30 22:46:51 UTC 2026","broken","Fri Jan 30 22:47:16 UTC 2026","TestNationalities","features_profile_test","",""
"","19027","test_sorting_in_candidates_table[click_on_sort_icon_btn-are_sorted_ascending_vacancy_in_table-Vacancy-Ascending]","tests","Fri Jan 30 22:52:36 UTC 2026","passed","Fri Jan 30 22:52:55 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","11858","Vacancies filter: Sales Representative","tests","Fri Jan 30 22:51:30 UTC 2026","passed","Fri Jan 30 22:51:42 UTC 2026","TestVacancies","features_profile_test","",""
"","6853","Directory: No records found for Support Specialist filter","tests","Fri Jan 30 22:48:12 UTC 2026","passed","Fri Jan 30 22:48:19 UTC 2026","TestDirectory","features_profile_test","",""
"","20383","test_sorting_in_candidates_table[click_on_sort_icon_hiring-are_sorted_descending_hiring_in_table-Hiring-Descending]","tests","Fri Jan 30 22:54:14 UTC 2026","passed","Fri Jan 30 22:54:35 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","6761","Directory filter by Job Title: HR Manager","tests","Fri Jan 30 22:47:49 UTC 2026","passed","Fri Jan 30 22:47:56 UTC 2026","TestDirectory","features_profile_test","",""
"","19353","test_sorting_in_candidates_table[click_on_sort_icon_hiring-are_sorted_ascending_hiring_in_table-Hiring-Ascending]","tests","Fri Jan 30 22:53:54 UTC 2026","passed","Fri Jan 30 22:54:14 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","25192","test_scraping_all_countries_in_table","tests","Fri Jan 30 22:43:51 UTC 2026","broken","Fri Jan 30 22:44:16 UTC 2026","TestNationalities","features_profile_test","",""
"","40003","test_if_search_for_invalid_data_via_calendar","tests","Fri Jan 30 22:55:52 UTC 2026","passed","Fri Jan 30 22:56:32 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","25010","test_add_country","tests","Fri Jan 30 22:44:17 UTC 2026","broken","Fri Jan 30 22:44:42 UTC 2026","TestNationalities","features_profile_test","",""
"","34533","test_if_search_for_july_in_calendar","tests","Fri Jan 30 22:55:10 UTC 2026","passed","Fri Jan 30 22:55:45 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","18973","test_sorting_in_candidates_table[click_on_sort_icon_candidate-are_sorted_ascending_candidate_in_table-Candidate-Ascending]","tests","Fri Jan 30 22:53:15 UTC 2026","passed","Fri Jan 30 22:53:34 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","25164","Delete nationality: Portu","tests","Fri Jan 30 22:45:59 UTC 2026","broken","Fri Jan 30 22:46:24 UTC 2026","TestNationalities","features_profile_test","",""
