"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8611","test_add_new_candidate","tests","Sat Jan 31 19:56:32 UTC 2026","passed","Sat Jan 31 19:56:40 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","12544","test_add_report","tests","Sat Jan 31 19:55:31 UTC 2026","passed","Sat Jan 31 19:55:43 UTC 2026","TestPimReports","features_profile_test","",""
"","35205","Directory filter by Job Title: QA Engineer","tests","Sat Jan 31 19:55:05 UTC 2026","broken","Sat Jan 31 19:55:40 UTC 2026","TestDirectory","features_profile_test","",""
"","8707","test_find_invalid_report","tests","Sat Jan 31 19:56:22 UTC 2026","passed","Sat Jan 31 19:56:31 UTC 2026","TestPimReports","features_profile_test","",""
"","6100","test_if_search_for_11_in_calendar","tests","Sat Jan 31 19:57:59 UTC 2026","broken","Sat Jan 31 19:58:05 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","7111","Directory filter by Job Title: HR Manager","tests","Sat Jan 31 19:54:57 UTC 2026","passed","Sat Jan 31 19:55:04 UTC 2026","TestDirectory","features_profile_test","",""
"","34922","test_add_country","tests","Sat Jan 31 19:54:22 UTC 2026","broken","Sat Jan 31 19:54:57 UTC 2026","TestNationalities","features_profile_test","",""
"","13649","Vacancies filter: Software Engineer","tests","Sat Jan 31 19:56:22 UTC 2026","passed","Sat Jan 31 19:56:36 UTC 2026","TestVacancies","features_profile_test","",""
"","39604","test_if_search_for_invalid_record_via_calendar","tests","Sat Jan 31 19:58:29 UTC 2026","passed","Sat Jan 31 19:59:09 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","5630","Directory: No records found for Support Specialist filter","tests","Sat Jan 31 19:56:16 UTC 2026","passed","Sat Jan 31 19:56:22 UTC 2026","TestDirectory","features_profile_test","",""
"","70721","test_if_search_for_invalid_data_via_calendar","tests","Sat Jan 31 19:57:54 UTC 2026","broken","Sat Jan 31 19:59:05 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","34900","test_if_search_for_july_in_calendar","tests","Sat Jan 31 19:57:54 UTC 2026","passed","Sat Jan 31 19:58:29 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","36671","Validate 'Required' error when Nationality field is empty","tests","Sat Jan 31 19:53:41 UTC 2026","broken","Sat Jan 31 19:54:18 UTC 2026","TestNationalities","features_profile_test","",""
"","5119","test_hidden_block","tests","Sat Jan 31 19:57:25 UTC 2026","passed","Sat Jan 31 19:57:30 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","6922","test_found_invalid_data","tests","Sat Jan 31 19:56:48 UTC 2026","passed","Sat Jan 31 19:56:55 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","6176","Directory filter by Job Title: Software Engineer","tests","Sat Jan 31 19:54:55 UTC 2026","failed","Sat Jan 31 19:55:01 UTC 2026","TestDirectory","features_profile_test","",""
"","39058","Add new vacancy with Job Title: QA Lead","tests","Sat Jan 31 19:55:46 UTC 2026","broken","Sat Jan 31 19:56:25 UTC 2026","TestVacancies","features_profile_test","",""
"","17290","test_sorting_in_candidates_table[click_on_sort_icon_hiring-are_sorted_descending_hiring_in_table-Hiring-Descending]","tests","Sat Jan 31 19:57:30 UTC 2026","passed","Sat Jan 31 19:57:47 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","11718","Vacancies filter: Sales Representative","tests","Sat Jan 31 19:56:37 UTC 2026","passed","Sat Jan 31 19:56:48 UTC 2026","TestVacancies","features_profile_test","",""
"","18212","test_sorting_in_candidates_table[click_on_sort_icon_hiring-are_sorted_ascending_hiring_in_table-Hiring-Ascending]","tests","Sat Jan 31 19:57:40 UTC 2026","passed","Sat Jan 31 19:57:58 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","35814","Validate error when nationality already exists (Ukraine)","tests","Sat Jan 31 19:54:54 UTC 2026","broken","Sat Jan 31 19:55:30 UTC 2026","TestNationalities","features_profile_test","",""
"","5922","test_are_fonded_valid_date_via_calendar","tests","Sat Jan 31 19:57:48 UTC 2026","broken","Sat Jan 31 19:57:54 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","36671","Add nationality: Kyiv and delete","tests","Sat Jan 31 19:53:41 UTC 2026","broken","Sat Jan 31 19:54:18 UTC 2026","TestNationalities","features_profile_test","",""
"","10449","test_show_error_when_empty_field","tests","Sat Jan 31 19:57:06 UTC 2026","passed","Sat Jan 31 19:57:16 UTC 2026","TestVacancies","features_profile_test","",""
"","7078","test_hide_block","tests","Sat Jan 31 19:55:39 UTC 2026","passed","Sat Jan 31 19:55:46 UTC 2026","TestPimReports","features_profile_test","",""
