"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32077","Add nationality: Kyiv","tests","Wed Jan 28 09:33:48 UTC 2026","broken","Wed Jan 28 09:34:20 UTC 2026","TestNationalities","features_profile_test","",""
"","65735","Delete nationality: Kyiv","tests","Wed Jan 28 09:34:20 UTC 2026","broken","Wed Jan 28 09:35:26 UTC 2026","TestNationalities","features_profile_test","",""
"","31223","test_with_valid_crendentional","tests","Wed Jan 28 09:33:16 UTC 2026","passed","Wed Jan 28 09:33:47 UTC 2026","TestProfileFeatures","features_profile_test","",""
