"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","195208","Edit nationality and verify update notification","tests","Sat Jan 31 22:19:08 UTC 2026","broken","Sat Jan 31 22:22:23 UTC 2026","TestNationalities","features_profile_test","",""
"","34980","Directory filter by Job Title: HR Manager","tests","Sat Jan 31 22:22:30 UTC 2026","broken","Sat Jan 31 22:23:05 UTC 2026","TestDirectory","features_profile_test","",""
"","38995","test_if_search_for_invalid_record_via_calendar","tests","Sat Jan 31 22:32:07 UTC 2026","passed","Sat Jan 31 22:32:46 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","16891","test_sorting_in_candidates_table[click_on_sort_icon_btn-are_sorted_ascending_vacancy_in_table-Vacancy-Ascending]","tests","Sat Jan 31 22:28:13 UTC 2026","passed","Sat Jan 31 22:28:30 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","35074","Directory filter by Job Title: Chief Financial Officer","tests","Sat Jan 31 22:23:41 UTC 2026","broken","Sat Jan 31 22:24:16 UTC 2026","TestDirectory","features_profile_test","",""
"","186136","test_add_country","tests","Sat Jan 31 22:03:34 UTC 2026","broken","Sat Jan 31 22:06:40 UTC 2026","TestNationalities","features_profile_test","",""
"","23570","test_sorting_in_candidates_table[click_on_sort_icon_candidate-are_sorted_descending_candidate_in_table-Candidate-Descending]","tests","Sat Jan 31 22:29:15 UTC 2026","passed","Sat Jan 31 22:29:39 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","186531","test_scraping_all_countries_in_table","tests","Sat Jan 31 22:00:27 UTC 2026","broken","Sat Jan 31 22:03:33 UTC 2026","TestNationalities","features_profile_test","",""
"","38951","test_if_search_for_invalid_data_via_calendar","tests","Sat Jan 31 22:31:28 UTC 2026","passed","Sat Jan 31 22:32:07 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","16744","test_sorting_in_candidates_table[click_on_sort_icon_hiring-are_sorted_ascending_hiring_in_table-Hiring-Ascending]","tests","Sat Jan 31 22:29:39 UTC 2026","passed","Sat Jan 31 22:29:56 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","38330","Add new vacancy with Job Title: QA Lead","tests","Sat Jan 31 22:25:37 UTC 2026","broken","Sat Jan 31 22:26:15 UTC 2026","TestVacancies","features_profile_test","",""
"","24361","test_sorting_in_candidates_table[click_on_sort_icon_candidate-are_sorted_ascending_candidate_in_table-Candidate-Ascending]","tests","Sat Jan 31 22:28:50 UTC 2026","passed","Sat Jan 31 22:29:15 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","3798","test_with_valid_crendentional","tests","Sat Jan 31 22:00:23 UTC 2026","passed","Sat Jan 31 22:00:27 UTC 2026","TestProfileFeatures","features_profile_test","",""
"","38373","test_find_a_new_report","tests","Sat Jan 31 22:24:35 UTC 2026","broken","Sat Jan 31 22:25:14 UTC 2026","TestPimReports","features_profile_test","",""
"","33914","test_are_fonded_valid_date_via_calendar","tests","Sat Jan 31 22:30:14 UTC 2026","passed","Sat Jan 31 22:30:48 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","35388","Directory filter by Job Title: QA Engineer","tests","Sat Jan 31 22:23:06 UTC 2026","broken","Sat Jan 31 22:23:41 UTC 2026","TestDirectory","features_profile_test","",""
"","6402","test_find_invalid_report","tests","Sat Jan 31 22:25:14 UTC 2026","passed","Sat Jan 31 22:25:20 UTC 2026","TestPimReports","features_profile_test","",""
"","5221","test_hidden_block","tests","Sat Jan 31 22:28:08 UTC 2026","passed","Sat Jan 31 22:28:13 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","11556","Vacancies filter: Software Engineer","tests","Sat Jan 31 22:27:05 UTC 2026","passed","Sat Jan 31 22:27:16 UTC 2026","TestVacancies","features_profile_test","",""
"","186002","Validate 'Required' error when Nationality field is empty","tests","Sat Jan 31 22:16:02 UTC 2026","broken","Sat Jan 31 22:19:08 UTC 2026","TestNationalities","features_profile_test","",""
"","9403","test_found_candidate","tests","Sat Jan 31 22:27:44 UTC 2026","passed","Sat Jan 31 22:27:53 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","5114","test_if_search_for_11_in_calendar","tests","Sat Jan 31 22:31:22 UTC 2026","broken","Sat Jan 31 22:31:27 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","186431","Validate error when nationality already exists (Ukraine)","tests","Sat Jan 31 22:12:55 UTC 2026","broken","Sat Jan 31 22:16:01 UTC 2026","TestNationalities","features_profile_test","",""
"","11079","Vacancies filter: Sales Representative","tests","Sat Jan 31 22:27:16 UTC 2026","passed","Sat Jan 31 22:27:28 UTC 2026","TestVacancies","features_profile_test","",""
"","186434","Add nationality: Portu and delete","tests","Sat Jan 31 22:09:48 UTC 2026","broken","Sat Jan 31 22:12:54 UTC 2026","TestNationalities","features_profile_test","",""
"","6866","test_shown_error_when_empty_fields","tests","Sat Jan 31 22:27:36 UTC 2026","passed","Sat Jan 31 22:27:43 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","10414","test_show_error_when_empty_field","tests","Sat Jan 31 22:26:54 UTC 2026","passed","Sat Jan 31 22:27:04 UTC 2026","TestVacancies","features_profile_test","",""
"","7939","test_add_new_candidate","tests","Sat Jan 31 22:27:28 UTC 2026","passed","Sat Jan 31 22:27:36 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","11997","test_add_report","tests","Sat Jan 31 22:24:23 UTC 2026","passed","Sat Jan 31 22:24:35 UTC 2026","TestPimReports","features_profile_test","",""
"","9043","test_delete_report","tests","Sat Jan 31 22:25:21 UTC 2026","passed","Sat Jan 31 22:25:30 UTC 2026","TestPimReports","features_profile_test","",""
"","6458","test_found_invalid_data","tests","Sat Jan 31 22:27:53 UTC 2026","passed","Sat Jan 31 22:28:00 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","33661","test_if_search_for_july_in_calendar","tests","Sat Jan 31 22:30:48 UTC 2026","passed","Sat Jan 31 22:31:22 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","6042","Directory filter by Job Title: Software Engineer","tests","Sat Jan 31 22:22:24 UTC 2026","failed","Sat Jan 31 22:22:30 UTC 2026","TestDirectory","features_profile_test","",""
"","7217","test_found_no_records","tests","Sat Jan 31 22:28:00 UTC 2026","passed","Sat Jan 31 22:28:07 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","5647","Directory: No records found for Support Specialist filter","tests","Sat Jan 31 22:24:17 UTC 2026","passed","Sat Jan 31 22:24:22 UTC 2026","TestDirectory","features_profile_test","",""
"","17323","test_sorting_in_candidates_table[click_on_sort_icon_hiring-are_sorted_descending_hiring_in_table-Hiring-Descending]","tests","Sat Jan 31 22:29:56 UTC 2026","passed","Sat Jan 31 22:30:13 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","6336","test_hide_block","tests","Sat Jan 31 22:25:30 UTC 2026","passed","Sat Jan 31 22:25:37 UTC 2026","TestPimReports","features_profile_test","",""
"","187042","Add nationality: Kyiv and delete","tests","Sat Jan 31 22:06:40 UTC 2026","broken","Sat Jan 31 22:09:47 UTC 2026","TestNationalities","features_profile_test","",""
"","19223","test_sorting_in_candidates_table[click_on_sort_icon_btn-are_sorted_descending_vacancy_in_table-Vacancy-Descending]","tests","Sat Jan 31 22:28:31 UTC 2026","passed","Sat Jan 31 22:28:50 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","37633","test_vacancy_existed","tests","Sat Jan 31 22:26:16 UTC 2026","broken","Sat Jan 31 22:26:53 UTC 2026","TestVacancies","features_profile_test","",""
