"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5309","test_with_valid_crendentional","tests","Tue Jan 27 21:28:53 UTC 2026","passed","Tue Jan 27 21:28:58 UTC 2026","TestProfileFeatures","features_profile_test","",""
"","33089","Add nationality: Kyiv","tests","Tue Jan 27 21:28:58 UTC 2026","broken","Tue Jan 27 21:29:32 UTC 2026","TestNationalities","features_profile_test","",""
"","25641","Delete nationality: Kyiv","tests","Tue Jan 27 21:29:32 UTC 2026","broken","Tue Jan 27 21:29:58 UTC 2026","TestNationalities","features_profile_test","",""
