"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4351","test_with_valid_crendentional","tests","Tue Jan 27 18:31:56 UTC 2026","passed","Tue Jan 27 18:32:00 UTC 2026","TestProfileFeatures","features_profile_test","",""
"","26348","Add nationality: Kyiv","tests","Tue Jan 27 18:32:00 UTC 2026","broken","Tue Jan 27 18:32:27 UTC 2026","TestNationalities","features_profile_test","",""
"","26125","Delete nationality: Kyiv","tests","Tue Jan 27 18:32:27 UTC 2026","broken","Tue Jan 27 18:32:53 UTC 2026","TestNationalities","features_profile_test","",""
