"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3622","test_with_valid_crendentional","tests","Tue Jan 27 19:39:37 UTC 2026","passed","Tue Jan 27 19:39:40 UTC 2026","TestProfileFeatures","features_profile_test","",""
"","0","test_delete_kyiv_from_table","tests","Tue Jan 27 19:40:12 UTC 2026","broken","Tue Jan 27 19:40:12 UTC 2026","TestNationalities","features_profile_test","",""
"","31360","Add nationality: Kyiv","tests","Tue Jan 27 19:39:40 UTC 2026","broken","Tue Jan 27 19:40:12 UTC 2026","TestNationalities","features_profile_test","",""
