"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28546","Add nationality: Kyiv","tests","Tue Jan 27 21:28:36 UTC 2026","broken","Tue Jan 27 21:29:05 UTC 2026","TestNationalities","features_profile_test","",""
"","31860","Delete nationality: Kyiv","tests","Tue Jan 27 21:29:05 UTC 2026","broken","Tue Jan 27 21:29:37 UTC 2026","TestNationalities","features_profile_test","",""
"","5236","test_with_valid_crendentional","tests","Tue Jan 27 21:28:31 UTC 2026","passed","Tue Jan 27 21:28:36 UTC 2026","TestProfileFeatures","features_profile_test","",""
