"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 03 19:33:45 GMT 2024","Wed Apr 03 19:33:51 GMT 2024","5339","tests","features_profile_test","TestForgotPassword","","","test_sent_reset_password",""
"passed","Wed Apr 03 19:33:36 GMT 2024","Wed Apr 03 19:33:40 GMT 2024","3795","tests","features_profile_test","TestForgotPassword","","","test_shown_error",""
"passed","Wed Apr 03 19:33:40 GMT 2024","Wed Apr 03 19:33:45 GMT 2024","5039","tests","features_profile_test","TestForgotPassword","","","test_back_page",""
