"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Apr 04 18:24:16 GMT 2024","Thu Apr 04 18:25:02 GMT 2024","45360","tests","features_profile_test","TestRecruitmentCandidate","","","test_search_for_valid_data_via_calendar",""
"passed","Thu Apr 04 18:17:58 GMT 2024","Thu Apr 04 18:18:12 GMT 2024","13490","tests","features_profile_test","TestPimReports","","","test_add_report",""
"passed","Thu Apr 04 18:16:27 GMT 2024","Thu Apr 04 18:16:36 GMT 2024","8824","tests","features_profile_test","TestNationalities","","","test_empty_field",""
"passed","Thu Apr 04 18:17:37 GMT 2024","Thu Apr 04 18:17:44 GMT 2024","7446","tests","features_profile_test","TestDirectory","","","test_all_locations_are_presented_in_dropdown",""
"passed","Thu Apr 04 18:22:24 GMT 2024","Thu Apr 04 18:22:42 GMT 2024","17913","tests","features_profile_test","TestRecruitmentCandidate","","","test_sorted_ascending_vacancy",""
"passed","Thu Apr 04 18:15:44 GMT 2024","Thu Apr 04 18:16:17 GMT 2024","32981","tests","features_profile_test","TestNationalities","","","test_delete_porto",""
"broken","Thu Apr 04 18:19:23 GMT 2024","Thu Apr 04 18:19:47 GMT 2024","23396","tests","features_profile_test","TestVacancies","","","test_add_vacancy_QA",""
"passed","Thu Apr 04 18:21:05 GMT 2024","Thu Apr 04 18:21:17 GMT 2024","11360","tests","features_profile_test","TestRecruitmentCandidate","","","test_found_candidate",""
"broken","Thu Apr 04 18:25:02 GMT 2024","Thu Apr 04 18:25:47 GMT 2024","45574","tests","features_profile_test","TestRecruitmentCandidate","","","test_if_search_for_july_in_calendar",""
"passed","Thu Apr 04 18:16:36 GMT 2024","Thu Apr 04 18:16:46 GMT 2024","10077","tests","features_profile_test","TestNationalities","","","test_edit_country",""
"passed","Thu Apr 04 18:21:34 GMT 2024","Thu Apr 04 18:21:39 GMT 2024","5122","tests","features_profile_test","TestRecruitmentCandidate","","","test_hidden_block",""
"passed","Thu Apr 04 18:17:01 GMT 2024","Thu Apr 04 18:17:08 GMT 2024","7080","tests","features_profile_test","TestDirectory","","","test_is_display_qa_after_filters",""
"passed","Thu Apr 04 18:15:32 GMT 2024","Thu Apr 04 18:15:43 GMT 2024","10958","tests","features_profile_test","TestNationalities","","","test_add_porto",""
"passed","Thu Apr 04 18:22:15 GMT 2024","Thu Apr 04 18:22:24 GMT 2024","8310","tests","features_profile_test","TestRecruitmentCandidate","","","test_found_only_rejected_status_chosen_from_dropdown",""
"passed","Thu Apr 04 18:14:57 GMT 2024","Thu Apr 04 18:15:07 GMT 2024","10028","tests","features_profile_test","TestNationalities","","","test_add_kyiv",""
"broken","Thu Apr 04 18:18:12 GMT 2024","Thu Apr 04 18:18:36 GMT 2024","23645","tests","features_profile_test","TestPimReports","","","test_find_a_new_report",""
"failed","Thu Apr 04 18:21:40 GMT 2024","Thu Apr 04 18:21:49 GMT 2024","9650","tests","features_profile_test","TestRecruitmentCandidate","","","test_found_only_qa_lead_after_chosen_from_dropdown",""
"passed","Thu Apr 04 18:17:45 GMT 2024","Thu Apr 04 18:17:58 GMT 2024","13473","tests","features_profile_test","TestDirectory","","","test_each_user_have_email",""
"passed","Thu Apr 04 18:19:06 GMT 2024","Thu Apr 04 18:19:15 GMT 2024","9075","tests","features_profile_test","TestPimReports","","","test_sort_descending_name",""
"broken","Thu Apr 04 18:25:48 GMT 2024","Thu Apr 04 18:26:31 GMT 2024","42803","tests","features_profile_test","TestRecruitmentCandidate","","","test_if_search_for_11_in_calendar",""
"passed","Thu Apr 04 18:16:47 GMT 2024","Thu Apr 04 18:16:54 GMT 2024","7078","tests","features_profile_test","TestDirectory","","","test_is_display_employee_after_filters",""
"passed","Thu Apr 04 18:20:35 GMT 2024","Thu Apr 04 18:20:47 GMT 2024","12537","tests","features_profile_test","TestVacancies","","","test_display_sales_in_table_after_chosen_dropdown",""
"passed","Thu Apr 04 18:27:52 GMT 2024","Thu Apr 04 18:27:57 GMT 2024","5375","tests","features_profile_test","TestForgotPassword","","","test_sent_reset_password",""
"passed","Thu Apr 04 18:18:57 GMT 2024","Thu Apr 04 18:19:06 GMT 2024","8853","tests","features_profile_test","TestPimReports","","","test_sort_ascending_name",""
"passed","Thu Apr 04 18:16:54 GMT 2024","Thu Apr 04 18:17:01 GMT 2024","6974","tests","features_profile_test","TestDirectory","","","test_is_display_hr_after_filters",""
"passed","Thu Apr 04 18:17:09 GMT 2024","Thu Apr 04 18:17:16 GMT 2024","7168","tests","features_profile_test","TestDirectory","","","test_no_records",""
"passed","Thu Apr 04 18:14:08 GMT 2024","Thu Apr 04 18:14:46 GMT 2024","38390","tests","features_profile_test","TestNationalities","","","test_scraping_all_countries_in_table",""
"passed","Thu Apr 04 18:16:17 GMT 2024","Thu Apr 04 18:16:27 GMT 2024","9783","tests","features_profile_test","TestNationalities","","","test_country_is_exist",""
"passed","Thu Apr 04 18:27:43 GMT 2024","Thu Apr 04 18:27:46 GMT 2024","3773","tests","features_profile_test","TestForgotPassword","","","test_shown_error",""
"passed","Thu Apr 04 18:18:44 GMT 2024","Thu Apr 04 18:18:57 GMT 2024","12701","tests","features_profile_test","TestPimReports","","","test_delete_report",""
"passed","Thu Apr 04 18:20:47 GMT 2024","Thu Apr 04 18:20:56 GMT 2024","8999","tests","features_profile_test","TestRecruitmentCandidate","","","test_add_new_candidate",""
"passed","Thu Apr 04 18:20:11 GMT 2024","Thu Apr 04 18:20:22 GMT 2024","11387","tests","features_profile_test","TestVacancies","","","test_show_error_when_empty_field",""
"broken","Thu Apr 04 18:19:47 GMT 2024","Thu Apr 04 18:20:10 GMT 2024","23243","tests","features_profile_test","TestVacancies","","","test_vacancy_existed",""
"broken","Thu Apr 04 18:17:16 GMT 2024","Thu Apr 04 18:17:36 GMT 2024","20166","tests","features_profile_test","TestDirectory","","","test_is_display_chief_after_filters",""
"passed","Thu Apr 04 18:20:57 GMT 2024","Thu Apr 04 18:21:05 GMT 2024","8081","tests","features_profile_test","TestRecruitmentCandidate","","","test_shown_error_when_empty_fields",""
"passed","Thu Apr 04 18:23:38 GMT 2024","Thu Apr 04 18:23:56 GMT 2024","18019","tests","features_profile_test","TestRecruitmentCandidate","","","test_sorted_ascending_hiring",""
"passed","Thu Apr 04 18:18:36 GMT 2024","Thu Apr 04 18:18:44 GMT 2024","7516","tests","features_profile_test","TestPimReports","","","test_find_invalid_report",""
"failed","Thu Apr 04 18:21:58 GMT 2024","Thu Apr 04 18:22:06 GMT 2024","8451","tests","features_profile_test","TestRecruitmentCandidate","","","test_found_only_manager_chosen_from_dropdown",""
"passed","Thu Apr 04 18:21:50 GMT 2024","Thu Apr 04 18:21:58 GMT 2024","8173","tests","features_profile_test","TestRecruitmentCandidate","","","test_found_only_sales_after_chosen_from_dropdown",""
"passed","Thu Apr 04 18:15:07 GMT 2024","Thu Apr 04 18:15:32 GMT 2024","24778","tests","features_profile_test","TestNationalities","","","test_delete_kyiv_from_table",""
