"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41326","test_if_search_for_invalid_record_via_calendar","tests","Sat Jan 31 21:55:59 UTC 2026","passed","Sat Jan 31 21:56:41 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","189302","Add nationality: Kyiv and delete","tests","Sat Jan 31 21:45:13 UTC 2026","broken","Sat Jan 31 21:48:22 UTC 2026","TestNationalities","features_profile_test","",""
"","7837","test_found_invalid_data","tests","Sat Jan 31 21:54:09 UTC 2026","passed","Sat Jan 31 21:54:16 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","39412","Add new vacancy with Job Title: QA Lead","tests","Sat Jan 31 21:54:59 UTC 2026","broken","Sat Jan 31 21:55:39 UTC 2026","TestVacancies","features_profile_test","",""
"","6136","Directory: No records found for Support Specialist filter","tests","Sat Jan 31 21:53:25 UTC 2026","passed","Sat Jan 31 21:53:31 UTC 2026","TestDirectory","features_profile_test","",""
"","188609","test_scraping_all_countries_in_table","tests","Sat Jan 31 21:45:17 UTC 2026","broken","Sat Jan 31 21:48:26 UTC 2026","TestNationalities","features_profile_test","",""
"","35740","Directory filter by Job Title: QA Engineer","tests","Sat Jan 31 21:52:13 UTC 2026","broken","Sat Jan 31 21:52:49 UTC 2026","TestDirectory","features_profile_test","",""
"","43809","test_add_report","tests","Sat Jan 31 21:51:37 UTC 2026","broken","Sat Jan 31 21:52:21 UTC 2026","TestPimReports","features_profile_test","",""
"","18619","test_sorting_in_candidates_table[click_on_sort_icon_btn-are_sorted_descending_vacancy_in_table-Vacancy-Descending]","tests","Sat Jan 31 21:54:43 UTC 2026","passed","Sat Jan 31 21:55:01 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","11611","test_add_new_candidate","tests","Sat Jan 31 21:53:58 UTC 2026","passed","Sat Jan 31 21:54:09 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","35218","Directory filter by Job Title: Chief Financial Officer","tests","Sat Jan 31 21:52:50 UTC 2026","broken","Sat Jan 31 21:53:25 UTC 2026","TestDirectory","features_profile_test","",""
"","187427","Edit nationality and verify update notification","tests","Sat Jan 31 21:48:22 UTC 2026","broken","Sat Jan 31 21:51:30 UTC 2026","TestNationalities","features_profile_test","",""
"","18322","test_sorting_in_candidates_table[click_on_sort_icon_candidate-are_sorted_descending_candidate_in_table-Candidate-Descending]","tests","Sat Jan 31 21:54:53 UTC 2026","passed","Sat Jan 31 21:55:12 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","38271","test_find_a_new_report","tests","Sat Jan 31 21:52:22 UTC 2026","broken","Sat Jan 31 21:53:00 UTC 2026","TestPimReports","features_profile_test","",""
"","18308","test_sorting_in_candidates_table[click_on_sort_icon_candidate-are_sorted_ascending_candidate_in_table-Candidate-Ascending]","tests","Sat Jan 31 21:55:02 UTC 2026","passed","Sat Jan 31 21:55:20 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","10274","test_shown_error_when_empty_fields","tests","Sat Jan 31 21:53:58 UTC 2026","passed","Sat Jan 31 21:54:08 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","17490","test_sorting_in_candidates_table[click_on_sort_icon_btn-are_sorted_ascending_vacancy_in_table-Vacancy-Ascending]","tests","Sat Jan 31 21:54:25 UTC 2026","passed","Sat Jan 31 21:54:42 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","37615","Directory filter by Job Title: HR Manager","tests","Sat Jan 31 21:51:35 UTC 2026","broken","Sat Jan 31 21:52:13 UTC 2026","TestDirectory","features_profile_test","",""
"","7488","test_found_no_records","tests","Sat Jan 31 21:54:17 UTC 2026","passed","Sat Jan 31 21:54:24 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","11336","test_show_error_when_empty_field","tests","Sat Jan 31 21:53:46 UTC 2026","passed","Sat Jan 31 21:53:57 UTC 2026","TestVacancies","features_profile_test","",""
"","5923","test_hidden_block","tests","Sat Jan 31 21:54:47 UTC 2026","passed","Sat Jan 31 21:54:53 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","11749","Vacancies filter: Software Engineer","tests","Sat Jan 31 21:53:32 UTC 2026","passed","Sat Jan 31 21:53:44 UTC 2026","TestVacancies","features_profile_test","",""
"","6677","test_find_invalid_report","tests","Sat Jan 31 21:53:00 UTC 2026","passed","Sat Jan 31 21:53:07 UTC 2026","TestPimReports","features_profile_test","",""
"","17529","test_sorting_in_candidates_table[click_on_sort_icon_hiring-are_sorted_ascending_hiring_in_table-Hiring-Ascending]","tests","Sat Jan 31 21:55:12 UTC 2026","passed","Sat Jan 31 21:55:30 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","187631","Add nationality: Portu and delete","tests","Sat Jan 31 21:48:24 UTC 2026","broken","Sat Jan 31 21:51:31 UTC 2026","TestNationalities","features_profile_test","",""
"","6832","Directory filter by Job Title: Software Engineer","tests","Sat Jan 31 21:51:30 UTC 2026","failed","Sat Jan 31 21:51:37 UTC 2026","TestDirectory","features_profile_test","",""
"","13390","Vacancies filter: Sales Representative","tests","Sat Jan 31 21:53:44 UTC 2026","passed","Sat Jan 31 21:53:57 UTC 2026","TestVacancies","features_profile_test","",""
"","42655","test_if_search_for_invalid_data_via_calendar","tests","Sat Jan 31 21:55:40 UTC 2026","passed","Sat Jan 31 21:56:22 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","18826","test_sorting_in_candidates_table[click_on_sort_icon_hiring-are_sorted_descending_hiring_in_table-Hiring-Descending]","tests","Sat Jan 31 21:55:39 UTC 2026","passed","Sat Jan 31 21:55:58 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","34989","test_are_fonded_valid_date_via_calendar","tests","Sat Jan 31 21:55:21 UTC 2026","failed","Sat Jan 31 21:55:56 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","5525","test_if_search_for_11_in_calendar","tests","Sat Jan 31 21:55:56 UTC 2026","broken","Sat Jan 31 21:56:02 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","4217","test_with_valid_crendentional","tests","Sat Jan 31 21:45:13 UTC 2026","passed","Sat Jan 31 21:45:17 UTC 2026","TestProfileFeatures","features_profile_test","",""
"","36582","test_found_candidate","tests","Sat Jan 31 21:54:10 UTC 2026","broken","Sat Jan 31 21:54:47 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","9163","test_if_search_for_july_in_calendar","tests","Sat Jan 31 21:55:30 UTC 2026","broken","Sat Jan 31 21:55:39 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","189093","Validate 'Required' error when Nationality field is empty","tests","Sat Jan 31 21:45:13 UTC 2026","broken","Sat Jan 31 21:48:22 UTC 2026","TestNationalities","features_profile_test","",""
"","7348","test_hide_block","tests","Sat Jan 31 21:54:51 UTC 2026","passed","Sat Jan 31 21:54:59 UTC 2026","TestPimReports","features_profile_test","",""
"","188599","Validate error when nationality already exists (Ukraine)","tests","Sat Jan 31 21:51:32 UTC 2026","broken","Sat Jan 31 21:54:40 UTC 2026","TestNationalities","features_profile_test","",""
"","10147","test_delete_report","tests","Sat Jan 31 21:54:41 UTC 2026","passed","Sat Jan 31 21:54:51 UTC 2026","TestPimReports","features_profile_test","",""
"","188281","test_add_country","tests","Sat Jan 31 21:48:27 UTC 2026","broken","Sat Jan 31 21:51:35 UTC 2026","TestNationalities","features_profile_test","",""
"","38096","test_vacancy_existed","tests","Sat Jan 31 21:53:07 UTC 2026","broken","Sat Jan 31 21:53:46 UTC 2026","TestVacancies","features_profile_test","",""
