"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3932","test_with_valid_crendentional","tests","Tue Jan 27 21:12:16 UTC 2026","passed","Tue Jan 27 21:12:20 UTC 2026","TestProfileFeatures","features_profile_test","",""
"","25613","Add nationality: Kyiv","tests","Tue Jan 27 21:12:20 UTC 2026","broken","Tue Jan 27 21:12:46 UTC 2026","TestNationalities","features_profile_test","",""
"","25780","Delete nationality: Kyiv","tests","Tue Jan 27 21:12:46 UTC 2026","broken","Tue Jan 27 21:13:12 UTC 2026","TestNationalities","features_profile_test","",""
