"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3480","test_with_valid_crendentional","tests","Tue Jan 27 19:23:58 UTC 2026","passed","Tue Jan 27 19:24:01 UTC 2026","TestProfileFeatures","features_profile_test","",""
"","24967","Delete nationality: Kyiv","tests","Tue Jan 27 19:24:27 UTC 2026","broken","Tue Jan 27 19:24:52 UTC 2026","TestNationalities","features_profile_test","",""
"","25168","Add nationality: Kyiv","tests","Tue Jan 27 19:24:02 UTC 2026","broken","Tue Jan 27 19:24:27 UTC 2026","TestNationalities","features_profile_test","",""
