"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8029","test_find_invalid_report","tests","Fri Jan 30 21:39:15 UTC 2026","passed","Fri Jan 30 21:39:23 UTC 2026","TestPimReports","features_profile_test","",""
"","26378","Directory filter by Job Title: QA Engineer","tests","Fri Jan 30 21:37:24 UTC 2026","broken","Fri Jan 30 21:37:51 UTC 2026","TestDirectory","features_profile_test","",""
"","23423","test_vacancy_existed","tests","Fri Jan 30 21:40:09 UTC 2026","broken","Fri Jan 30 21:40:33 UTC 2026","TestVacancies","features_profile_test","",""
"","13350","test_delete_report","tests","Fri Jan 30 21:39:23 UTC 2026","passed","Fri Jan 30 21:39:37 UTC 2026","TestPimReports","features_profile_test","",""
"","22664","test_hidden_block","tests","Fri Jan 30 21:43:40 UTC 2026","broken","Fri Jan 30 21:44:02 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","25664","test_add_country","tests","Fri Jan 30 21:33:17 UTC 2026","broken","Fri Jan 30 21:33:43 UTC 2026","TestNationalities","features_profile_test","",""
"","25734","Delete nationality: Kyiv","tests","Fri Jan 30 21:34:10 UTC 2026","broken","Fri Jan 30 21:34:35 UTC 2026","TestNationalities","features_profile_test","",""
"","23681","test_sorting_in_candidates_table[click_on_sort_icon_btn-are_sorted_ascending_vacancy_in_table-Vacancy-Ascending]","tests","Fri Jan 30 21:44:03 UTC 2026","broken","Fri Jan 30 21:44:26 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","25578","Validate error when nationality already exists (Ukraine)","tests","Fri Jan 30 21:35:31 UTC 2026","broken","Fri Jan 30 21:35:56 UTC 2026","TestNationalities","features_profile_test","",""
"","23742","test_if_search_for_invalid_record_via_calendar","tests","Fri Jan 30 21:47:57 UTC 2026","broken","Fri Jan 30 21:48:21 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","22650","test_if_search_for_invalid_data_via_calendar","tests","Fri Jan 30 21:47:34 UTC 2026","broken","Fri Jan 30 21:47:57 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","8098","test_hide_block","tests","Fri Jan 30 21:39:37 UTC 2026","passed","Fri Jan 30 21:39:45 UTC 2026","TestPimReports","features_profile_test","",""
"","22814","test_if_search_for_11_in_calendar","tests","Fri Jan 30 21:47:11 UTC 2026","broken","Fri Jan 30 21:47:34 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","22695","test_sorting_in_candidates_table[click_on_sort_icon_btn-are_sorted_descending_vacancy_in_table-Vacancy-Descending]","tests","Fri Jan 30 21:44:27 UTC 2026","broken","Fri Jan 30 21:44:50 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","25802","test_scraping_all_countries_in_table","tests","Fri Jan 30 21:32:51 UTC 2026","broken","Fri Jan 30 21:33:17 UTC 2026","TestNationalities","features_profile_test","",""
"","23148","Add new vacancy with Job Title: QA Lead","tests","Fri Jan 30 21:39:46 UTC 2026","broken","Fri Jan 30 21:40:09 UTC 2026","TestVacancies","features_profile_test","",""
"","14187","test_add_report","tests","Fri Jan 30 21:38:26 UTC 2026","passed","Fri Jan 30 21:38:40 UTC 2026","TestPimReports","features_profile_test","",""
"","25800","Add nationality: Kyiv","tests","Fri Jan 30 21:33:43 UTC 2026","broken","Fri Jan 30 21:34:09 UTC 2026","TestNationalities","features_profile_test","",""
"","27891","Add nationality: Portu","tests","Fri Jan 30 21:34:36 UTC 2026","broken","Fri Jan 30 21:35:04 UTC 2026","TestNationalities","features_profile_test","",""
"","33724","test_find_a_new_report","tests","Fri Jan 30 21:38:41 UTC 2026","broken","Fri Jan 30 21:39:14 UTC 2026","TestPimReports","features_profile_test","",""
"","23662","test_shown_error_when_empty_fields","tests","Fri Jan 30 21:42:06 UTC 2026","broken","Fri Jan 30 21:42:29 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","22673","test_sorting_in_candidates_table[click_on_sort_icon_candidate-are_sorted_descending_candidate_in_table-Candidate-Descending]","tests","Fri Jan 30 21:45:13 UTC 2026","broken","Fri Jan 30 21:45:36 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
