"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26416","Delete nationality: Portu","tests","Tue Jan 27 16:43:38 UTC 2026","broken","Tue Jan 27 16:44:05 UTC 2026","TestNationalities","features_profile_test","",""
"","25320","Add nationality: Kyiv","tests","Tue Jan 27 16:42:14 UTC 2026","broken","Tue Jan 27 16:42:40 UTC 2026","TestNationalities","features_profile_test","",""
"","25630","test_add_country","tests","Tue Jan 27 16:41:49 UTC 2026","broken","Tue Jan 27 16:42:14 UTC 2026","TestNationalities","features_profile_test","",""
"","27333","Validate error when nationality already exists (Ukraine)","tests","Tue Jan 27 16:44:05 UTC 2026","broken","Tue Jan 27 16:44:32 UTC 2026","TestNationalities","features_profile_test","",""
"","28040","Add nationality: Portu","tests","Tue Jan 27 16:43:10 UTC 2026","broken","Tue Jan 27 16:43:38 UTC 2026","TestNationalities","features_profile_test","",""
"","27793","Edit nationality and verify update notification","tests","Tue Jan 27 16:44:58 UTC 2026","broken","Tue Jan 27 16:45:26 UTC 2026","TestNationalities","features_profile_test","",""
"","25407","Validate 'Required' error when Nationality field is empty","tests","Tue Jan 27 16:44:33 UTC 2026","broken","Tue Jan 27 16:44:58 UTC 2026","TestNationalities","features_profile_test","",""
"","27646","test_scraping_all_countries_in_table","tests","Tue Jan 27 16:41:21 UTC 2026","broken","Tue Jan 27 16:41:48 UTC 2026","TestNationalities","features_profile_test","",""
"","29651","Delete nationality: Kyiv","tests","Tue Jan 27 16:42:40 UTC 2026","broken","Tue Jan 27 16:43:10 UTC 2026","TestNationalities","features_profile_test","",""
