"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30338","Add nationality: Kyiv","tests","Wed Jan 28 07:05:58 UTC 2026","broken","Wed Jan 28 07:06:28 UTC 2026","TestNationalities","features_profile_test","",""
"","26109","Delete nationality: Kyiv","tests","Wed Jan 28 07:06:29 UTC 2026","broken","Wed Jan 28 07:06:55 UTC 2026","TestNationalities","features_profile_test","",""
"","4108","test_with_valid_crendentional","tests","Wed Jan 28 07:05:54 UTC 2026","passed","Wed Jan 28 07:05:58 UTC 2026","TestProfileFeatures","features_profile_test","",""
